"","Dec_time","Condition","date","Dec_ZT_time","mean_of_sleep_counts","sem"
"4280",1399,"wt",2024-02-26,1039,0.517241379310345,0.0944349237077873
"4281",1400,"wt",2024-02-26,1040,0.517241379310345,0.0944349237077873
"4282",1401,"wt",2024-02-26,1041,0.551724137931034,0.0939841577750685
"4283",1402,"wt",2024-02-26,1042,0.517241379310345,0.0944349237077873
"4284",1403,"wt",2024-02-26,1043,0.517241379310345,0.0944349237077873
"4285",1404,"wt",2024-02-26,1044,0.517241379310345,0.0944349237077873
"4286",1405,"wt",2024-02-26,1045,0.517241379310345,0.0944349237077873
"4287",1406,"wt",2024-02-26,1046,0.586206896551724,0.0930760769837004
"4288",1407,"wt",2024-02-26,1047,0.655172413793103,0.0898255296985737
"4289",1408,"wt",2024-02-26,1048,0.655172413793103,0.0898255296985737
"4290",1409,"wt",2024-02-26,1049,0.620689655172414,0.0916970959063364
"4291",1410,"wt",2024-02-26,1050,0.586206896551724,0.0930760769837004
"4292",1411,"wt",2024-02-26,1051,0.689655172413793,0.0874297504891569
"4293",1412,"wt",2024-02-26,1052,0.689655172413793,0.0874297504891569
"4294",1413,"wt",2024-02-26,1053,0.689655172413793,0.0874297504891569
"4295",1414,"wt",2024-02-26,1054,0.724137931034483,0.0844651635442475
"4296",1415,"wt",2024-02-26,1055,0.724137931034483,0.0844651635442475
"4297",1416,"wt",2024-02-26,1056,0.724137931034483,0.0844651635442475
"4298",1417,"wt",2024-02-26,1057,0.724137931034483,0.0844651635442475
"4299",1418,"wt",2024-02-26,1058,0.724137931034483,0.0844651635442475
"4300",1419,"wt",2024-02-26,1059,0.724137931034483,0.0844651635442475
"4301",1420,"wt",2024-02-26,1060,0.620689655172414,0.0916970959063364
"4302",1421,"wt",2024-02-26,1061,0.586206896551724,0.0930760769837004
"4303",1422,"wt",2024-02-26,1062,0.551724137931034,0.0939841577750685
"4304",1423,"wt",2024-02-26,1063,0.586206896551724,0.0930760769837004
"4305",1424,"wt",2024-02-26,1064,0.586206896551724,0.0930760769837004
"4306",1425,"wt",2024-02-26,1065,0.655172413793103,0.0898255296985737
"4307",1426,"wt",2024-02-26,1066,0.620689655172414,0.0916970959063364
"4308",1427,"wt",2024-02-26,1067,0.620689655172414,0.0916970959063364
"4309",1428,"wt",2024-02-26,1068,0.689655172413793,0.0874297504891569
"4310",1429,"wt",2024-02-26,1069,0.689655172413793,0.0874297504891569
"4311",1430,"wt",2024-02-26,1070,0.655172413793103,0.0898255296985737
"4312",1431,"wt",2024-02-26,1071,0.758620689655172,0.080869237238335
"4313",1432,"wt",2024-02-26,1072,0.724137931034483,0.0844651635442475
"4314",1433,"wt",2024-02-26,1073,0.689655172413793,0.0874297504891569
"4315",1434,"wt",2024-02-26,1074,0.724137931034483,0.0844651635442475
"4316",1435,"wt",2024-02-26,1075,0.724137931034483,0.0844651635442475
"4317",1436,"wt",2024-02-26,1076,0.724137931034483,0.0844651635442475
"4318",1437,"wt",2024-02-26,1077,0.793103448275862,0.0765530555069953
"4319",1438,"wt",2024-02-26,1078,0.758620689655172,0.080869237238335
"4320",1439,"wt",2024-02-26,1079,0.689655172413793,0.0874297504891569
"4321",0,"wt",2024-02-27,1080,0.689655172413793,0.0874297504891569
"4322",1,"wt",2024-02-27,1081,0.620689655172414,0.0916970959063364
"4323",2,"wt",2024-02-27,1082,0.620689655172414,0.0916970959063364
"4324",3,"wt",2024-02-27,1083,0.620689655172414,0.0916970959063364
"4325",4,"wt",2024-02-27,1084,0.689655172413793,0.0874297504891569
"4326",5,"wt",2024-02-27,1085,0.724137931034483,0.0844651635442475
"4327",6,"wt",2024-02-27,1086,0.758620689655172,0.080869237238335
"4328",7,"wt",2024-02-27,1087,0.793103448275862,0.0765530555069953
